A2,plural instead of singular (+)
B1,distancing demonstrative (o)
B2a,paraphrases of time/place (+)
B2c,paraphrases of time/place (+)
C1a,reaffirming si (o)
C2a,reaffirming tant (o)
E3b,personified abstracts (+)
F1a,contour-erasing plurals (o)
F2a,contour-erasing lexical items (+)
F2b,contour-erasing lexical items (+)
F3c,neutral ce que (o)
F4b,contour-erasing où (+)
F5,phrasal verbs (+)
F6d,paraphrase with voir (+)
F7c,periprastic verbs (o)
G1c,evaluative adjectives and adverbs (+)
G2,trop with adjective (o)
G7e,binary structure (+)
G9,opposing adjectives (o)
G10b,appreciative adjectives (o)
J2b,graduated asyndeton with verbs (+)
J3a,graduated asyndeton with nouns (o)
K1,self-interrupting (o)
K8,rounded numbers (+)
